datetime,code,open,close,high,low,vol,amount
2018-01-11 15:00:00,000300,4204.06,4205.59,4205.84,4203.54,472042.4,4720427008.0
2018-01-11 14:55:00,000300,4204.61,4204.45,4205.09,4204.07,409037.76,4090380288.0
2018-01-11 14:50:00,000300,4204.44,4204.48,4205.37,4204.16,342585.88,3425861632.0
2018-01-11 14:45:00,000300,4206.17,4204.2,4206.17,4203.91,352757.04,3527573504.0
2018-01-11 14:40:00,000300,4201.97,4205.92,4206.3,4201.81,311194.12,3111944192.0
2018-01-11 14:35:00,000300,4200.7,4201.93,4201.97,4200.5,250262.06,2502623232.0
2018-01-11 14:30:00,000300,4200.38,4200.95,4200.95,4198.66,283071.0,2830712832.0
2018-01-11 14:25:00,000300,4205.75,4200.22,4206.64,4200.14,291749.6,2917498880.0
2018-01-11 14:20:00,000300,4207.62,4206.11,4207.8,4205.55,237500.54,2375008256.0
2018-01-11 14:15:00,000300,4209.18,4207.13,4209.18,4207.01,238403.3,2384035840.0
2018-01-11 14:10:00,000300,4209.75,4208.93,4210.15,4208.85,279975.24,2799755264.0
2018-01-11 14:05:00,000300,4206.75,4209.68,4210.51,4206.47,309339.48,3093397504.0
2018-01-11 14:00:00,000300,4201.5,4206.43,4206.46,4200.62,304095.76,3040960512.0
2018-01-11 13:55:00,000300,4201.38,4201.64,4202.07,4200.76,270870.68,2708709376.0
2018-01-11 13:50:00,000300,4200.38,4201.21,4201.26,4199.62,320776.32,3207766016.0
2018-01-11 13:45:00,000300,4195.1,4200.18,4200.18,4194.85,301615.24,3016155136.0
2018-01-11 13:40:00,000300,4195.29,4195.44,4195.44,4193.99,268401.6,2684018688.0
2018-01-11 13:35:00,000300,4194.1,4195.36,4197.0,4193.46,319210.02,3192102912.0
2018-01-11 13:30:00,000300,4191.85,4193.74,4193.74,4191.37,252812.2,2528124928.0
2018-01-11 13:25:00,000300,4195.63,4191.67,4196.0,4191.67,244956.88,2449571840.0
2018-01-11 13:20:00,000300,4198.26,4196.14,4198.62,4195.89,220154.0,2201542656.0
2018-01-11 13:15:00,000300,4199.13,4198.26,4200.19,4197.78,214709.56,2147098624.0
2018-01-11 13:10:00,000300,4195.08,4199.17,4199.23,4195.08,171312.48,1713127424.0
2018-01-11 13:05:00,000300,4195.79,4194.94,4197.39,4194.31,228272.26,2282725376.0
2018-01-11 11:30:00,000300,4186.87,4195.23,4195.26,4186.57,194917.68,1949179904.0
2018-01-11 11:25:00,000300,4186.97,4186.82,4187.69,4185.08,188812.24,1888124928.0
2018-01-11 11:20:00,000300,4188.68,4187.61,4189.26,4187.33,179784.64,1797849088.0
2018-01-11 11:15:00,000300,4191.7,4188.54,4191.74,4188.35,186822.38,1868226560.0
2018-01-11 11:10:00,000300,4187.75,4191.69,4191.85,4187.4,216492.18,2164924416.0
2018-01-11 11:05:00,000300,4184.27,4188.11,4188.15,4184.27,248567.12,2485673984.0
2018-01-11 11:00:00,000300,4183.65,4183.39,4184.76,4182.06,310094.74,3100950528.0
2018-01-11 10:55:00,000300,4186.46,4183.57,4187.26,4183.29,365572.64,3655729152.0
2018-01-11 10:50:00,000300,4191.6,4186.77,4191.85,4186.77,366728.52,3667288064.0
2018-01-11 10:45:00,000300,4193.19,4191.41,4194.61,4190.48,357423.2,3574235136.0
2018-01-11 10:40:00,000300,4190.36,4193.64,4194.51,4190.36,325394.1,3253944320.0
2018-01-11 10:35:00,000300,4189.79,4190.16,4190.16,4186.4,363861.28,3638616064.0
2018-01-11 10:30:00,000300,4198.11,4189.74,4198.11,4189.25,431429.32,4314296320.0
2018-01-11 10:25:00,000300,4197.36,4198.69,4201.13,4197.27,418258.64,4182589440.0
2018-01-11 10:20:00,000300,4198.47,4197.31,4199.46,4197.14,392830.24,3928305664.0
2018-01-11 10:15:00,000300,4193.85,4198.49,4198.84,4193.85,411365.92,4113661952.0
2018-01-11 10:10:00,000300,4194.78,4194.17,4197.15,4192.62,455346.72,4553469952.0
2018-01-11 10:05:00,000300,4207.87,4195.14,4207.87,4195.1,588514.64,5885149184.0
2018-01-11 10:00:00,000300,4205.4,4208.36,4211.59,4205.4,619626.2,6196264960.0
2018-01-11 09:55:00,000300,4208.6,4205.02,4210.78,4205.02,623918.0,6239182848.0
2018-01-11 09:50:00,000300,4195.92,4208.7,4209.15,4195.92,626536.8,6265370624.0
2018-01-11 09:45:00,000300,4195.12,4195.85,4197.35,4193.71,632594.24,6325945344.0
2018-01-11 09:40:00,000300,4188.32,4195.21,4195.42,4188.14,698262.16,6982624256.0
2018-01-11 09:35:00,000300,4197.11,4188.08,4197.11,4187.81,942458.56,9424588800.0
2018-01-10 15:00:00,000300,4208.6,4207.81,4209.05,4207.81,621079.44,6210797568.0
2018-01-10 14:55:00,000300,4208.46,4209.12,4211.0,4208.46,523543.88,5235441664.0
2018-01-10 14:50:00,000300,4206.74,4208.5,4208.5,4206.53,350505.92,3505061888.0
2018-01-10 14:45:00,000300,4203.81,4207.0,4207.67,4203.81,391990.2,3919904768.0
2018-01-10 14:40:00,000300,4198.57,4204.05,4204.05,4198.23,291151.56,2911518720.0
2018-01-10 14:35:00,000300,4199.36,4198.71,4200.13,4198.0,268133.72,2681339904.0
2018-01-10 14:30:00,000300,4195.92,4199.59,4199.59,4195.58,273430.68,2734309376.0
2018-01-10 14:25:00,000300,4198.57,4195.84,4198.57,4195.42,224005.1,2240053248.0
2018-01-10 14:20:00,000300,4199.29,4198.6,4201.12,4198.29,276335.56,2763358208.0
2018-01-10 14:15:00,000300,4192.39,4198.89,4198.89,4192.02,248010.92,2480111616.0
